"repo_id","commit_sha","number_of_files_changed","total_lines_changed","file_types_changed"
codecrafters-io/build-your-own-x,f1c9c2a7143b3bb8e74888113d89bcb0966ff098,1,1,{'md'}
microsoft/vscode,bc0129d96a4af7fb1d39026aaba6e7c5b4c8d001,5,54,{'ts'}
codecrafters-io/build-your-own-x,"981cd2c113d57217c930f705c5af7223bfc0e66c",1,2,{'md'}
codecrafters-io/build-your-own-x,"0fc8171669304b178e93da57141e6d2ae2ff53b9",1,1,{'md'}
ossu/computer-science,eda69ad8817e4bd12576e55bb5032edc04bc81ce,1,2,{'md'}
practical-tutorials/project-based-learning,"575fa6461cd50a97ad195f105367889a81409f7b",1,2,{'md'}
vuejs/vue,"3e1037e4a0317fe78ae022e789afbbc9453b15eb",2,52,"{'json','yaml'}"
ossu/computer-science,"3ab2cd9014845a1eb45f183d0726d2b5746652a8",1,4,{'md'}
trimstray/the-book-of-secret-knowledge,db823f6b702da48986f6c87b82f7720d33280be8,1,33,{'md'}
trekhleb/javascript-algorithms,"0e2b2574f83d94adfe5822b1f09203ee60a34a31",1,2,{'es-ES.md'}
vinta/awesome-python,"0b8a5d1d9355c1706e2d6c7f3c570e21e1fb1293",1,1,{'md'}
vuejs/vue,cdcc4f0c667ca4166f87034c6105514ba7b004cc,1,2,{'md'}
donnemartin/system-design-primer,"6984b4e956169cf967298897f9d8b1f12b28245b",1,2,{'md'}
"996icu/996.ICU","0414a3ab48ed5d660ec62ee3c23a65ea7bd0d9e0",1,2,{'md'}
ossu/computer-science,"17c83fb450a311410f08d565e377297b215fbf2b",1,1,{'md'}
vinta/awesome-python,cf5dc7154c80357a11147b23ac520cab5d733c4a,1,2,{'md'}
jwasham/coding-interview-university,"7373869e6e23650d2ca47f66c812a9e988d24a88",1,15,{'md'}
codecrafters-io/build-your-own-x,"600322eb68bc886b230d64688403024bf00d412a",1,2,{'gitattributes'}
practical-tutorials/project-based-learning,"243d33995fc5a616010fced6c9e131090e8e1a39",1,1,{'md'}
TheAlgorithms/Python,d0d7f0b18ab5cca2c573448b757c45bc0eee69c6,2,10,"{'github_workflows_directory_writer.yml','py'}"
EbookFoundation/free-programming-books,"4f0f6b76209c4f1bc7a283f52a0d1384e2d7eda8",2,49,"{'github_workflows_stale-new.yml','github_workflows_stale.yml'}"
sindresorhus/awesome,"30f105b071b95e540f2923ac3d4393a6d0f13fec",1,1,{'md'}
